row_id,order_id,product_id,sales,quantity,discount,profit
1,OR-300000,PR-201200,1989.68,5,0.05,722.52
2,OR-300000,PR-201565,2619.54,6,0.1,1042.12
3,OR-300000,PR-200644,1783.49,4,0.05,620.66
4,OR-300000,PR-200214,1516.95,3,0.25,188.12
5,OR-300001,PR-201455,434.34,3,0.05,160.47
6,OR-300001,PR-201703,2096.92,5,0.2,469.4
7,OR-300001,PR-201067,404.08,2,0.0,51.84
8,OR-300001,PR-200230,2716.92,6,0.15,243.51
9,OR-300002,PR-200343,220.16,2,0.0,18.66
10,OR-300002,PR-200471,1425.68,2,0.0,142.81
11,OR-300003,PR-200234,583.5,1,0.2,203.76
12,OR-300003,PR-201222,3133.12,6,0.25,732.75
13,OR-300003,PR-200791,23.8,1,0.0,8.13
14,OR-300003,PR-200387,948.66,3,0.0,163.55
15,OR-300004,PR-201330,1036.62,2,0.0,278.52
16,OR-300004,PR-201546,568.93,1,0.1,122.19
17,OR-300004,PR-201538,2463.3,5,0.05,445.26
18,OR-300005,PR-200007,1181.34,2,0.0,267.28
19,OR-300006,PR-201932,1830.5,3,0.2,368.55
20,OR-300006,PR-201708,206.36,1,0.25,19.55
21,OR-300006,PR-200886,1733.94,6,0.1,189.78
22,OR-300007,PR-201451,539.32,1,0.05,213.45
23,OR-300008,PR-200816,2628.36,5,0.2,436.4
24,OR-300009,PR-201583,2599.98,5,0.15,557.18
25,OR-300009,PR-200414,1147.14,3,0.15,287.9
26,OR-300009,PR-201162,2389.91,5,0.05,488.24
27,OR-300010,PR-201142,1587.11,5,0.25,414.3
28,OR-300010,PR-200967,2985.3,5,0.25,851.01
29,OR-300010,PR-201600,360.15,5,0.0,71.57
30,OR-300010,PR-201211,533.05,4,0.15,186.59
31,OR-300011,PR-200259,717.7,1,0.05,156.54
32,OR-300011,PR-201436,836.6,3,0.25,206.67
33,OR-300012,PR-200161,2744.0,5,0.2,543.13
34,OR-300012,PR-200285,567.37,1,0.1,106.32
35,OR-300012,PR-200643,320.07,1,0.15,55.39
36,OR-300013,PR-201233,1260.98,2,0.0,319.51
37,OR-300013,PR-201632,2418.5,6,0.1,264.6
38,OR-300013,PR-201459,1573.25,5,0.05,345.23
39,OR-300013,PR-200362,213.55,2,0.15,39.93
40,OR-300014,PR-201476,1725.16,6,0.05,196.11
41,OR-300014,PR-201133,1483.92,3,0.1,349.54
42,OR-300014,PR-201710,212.3,1,0.2,25.57
43,OR-300015,PR-201700,572.59,1,0.0,217.69
44,OR-300015,PR-200101,485.65,1,0.05,182.66
45,OR-300015,PR-201840,1010.58,3,0.0,229.4
46,OR-300015,PR-200432,397.09,2,0.15,157.8
47,OR-300016,PR-200010,67.86,1,0.2,19.59
48,OR-300016,PR-201868,594.26,5,0.25,97.33
49,OR-300016,PR-200926,145.72,2,0.15,15.04
50,OR-300017,PR-200120,1699.27,3,0.25,515.5
51,OR-300018,PR-201250,1354.82,2,0.0,533.71
52,OR-300019,PR-200165,3176.51,6,0.25,622.83
53,OR-300019,PR-201939,181.73,4,0.2,22.46
54,OR-300019,PR-200089,321.27,1,0.15,86.73
55,OR-300019,PR-201393,15.82,1,0.15,2.56
56,OR-300020,PR-201431,434.7,3,0.25,54.37
57,OR-300020,PR-201162,1530.56,5,0.2,394.44
58,OR-300020,PR-200436,913.66,4,0.2,148.26
59,OR-300021,PR-200971,1034.8,2,0.2,110.15
60,OR-300021,PR-201846,3732.96,6,0.0,606.61
61,OR-300022,PR-201402,124.11,2,0.1,18.4
62,OR-300022,PR-201805,1606.82,6,0.1,397.99
63,OR-300023,PR-201085,300.08,1,0.1,118.02
64,OR-300023,PR-200891,510.08,1,0.15,72.43
65,OR-300023,PR-201122,1425.49,2,0.1,520.47
66,OR-300023,PR-201906,1640.6,5,0.2,290.66
67,OR-300024,PR-201886,4188.78,6,0.1,879.16
68,OR-300024,PR-200282,235.03,5,0.1,22.79
69,OR-300024,PR-201671,2228.1,4,0.25,213.98
70,OR-300024,PR-200737,1805.76,4,0.1,190.72
71,OR-300025,PR-201216,395.6,1,0.1,145.87
72,OR-300026,PR-201496,430.3,1,0.2,48.43
73,OR-300026,PR-200478,761.57,1,0.0,173.69
74,OR-300026,PR-201039,268.14,4,0.25,23.09
75,OR-300027,PR-200110,3229.73,6,0.05,913.47
76,OR-300027,PR-200831,2864.08,6,0.05,517.94
77,OR-300027,PR-201883,1690.29,3,0.0,504.43
78,OR-300027,PR-200001,511.57,1,0.05,112.58
79,OR-300028,PR-200323,1833.72,4,0.25,685.94
80,OR-300029,PR-201767,4025.38,6,0.1,1567.14
81,OR-300029,PR-201340,2990.63,6,0.1,660.48
82,OR-300030,PR-200089,317.63,4,0.15,96.98
83,OR-300030,PR-201729,606.4,2,0.2,58.12
84,OR-300030,PR-200724,2692.71,6,0.25,530.92
85,OR-300031,PR-200019,722.88,4,0.25,201.72
86,OR-300032,PR-200568,341.85,3,0.0,123.43
87,OR-300033,PR-200147,1001.68,5,0.2,371.78
88,OR-300034,PR-200708,1093.2,2,0.25,285.83
89,OR-300034,PR-200300,298.66,1,0.0,27.07
90,OR-300034,PR-200834,1478.3,4,0.2,124.44
91,OR-300035,PR-200150,1354.39,5,0.15,315.3
92,OR-300036,PR-201467,855.74,2,0.2,300.75
93,OR-300036,PR-200628,2536.34,5,0.1,902.44
94,OR-300037,PR-200772,554.66,2,0.0,83.06
95,OR-300037,PR-201296,1995.99,3,0.0,474.71
96,OR-300037,PR-200777,548.91,3,0.15,76.17
97,OR-300037,PR-200216,1659.57,4,0.05,441.9
98,OR-300038,PR-201616,513.12,2,0.0,52.5
99,OR-300038,PR-201509,347.61,1,0.25,127.37
100,OR-300039,PR-201304,1917.98,5,0.15,466.72
101,OR-300040,PR-200786,1381.68,4,0.05,383.01
102,OR-300041,PR-200684,1807.36,5,0.2,405.51
103,OR-300041,PR-201755,3453.25,5,0.0,465.21
104,OR-300041,PR-201509,2791.3,5,0.1,372.91
105,OR-300041,PR-200095,1450.27,2,0.05,310.51
106,OR-300042,PR-200757,1271.16,3,0.0,205.76
107,OR-300042,PR-200948,532.48,1,0.05,42.79
108,OR-300042,PR-200911,77.67,1,0.1,27.14
109,OR-300042,PR-200462,3631.62,6,0.0,500.79
110,OR-300043,PR-200722,2527.04,5,0.2,665.4
111,OR-300044,PR-200888,497.32,1,0.2,109.26
112,OR-300045,PR-201165,1933.1,6,0.15,258.25
113,OR-300045,PR-201414,251.72,1,0.2,23.72
114,OR-300045,PR-200103,1874.2,3,0.15,470.79
115,OR-300046,PR-201041,1859.53,5,0.05,627.01
116,OR-300046,PR-200565,2078.27,3,0.1,742.35
117,OR-300047,PR-201479,570.28,4,0.0,78.04
118,OR-300047,PR-200437,1169.54,5,0.05,327.57
119,OR-300048,PR-200516,197.86,1,0.15,78.35
120,OR-300049,PR-200135,2806.34,4,0.1,742.92
121,OR-300050,PR-201506,3373.32,6,0.05,308.85
122,OR-300050,PR-200425,174.33,1,0.25,52.77
123,OR-300051,PR-200735,1121.86,2,0.0,177.24
124,OR-300051,PR-201470,90.29,2,0.05,21.77
