order_id,customer_id,order_date,ship_date,ship_mode
OR-300000,CU-102099,2023-06-08,2023-06-15,Same Day
OR-300001,CU-101543,2023-04-22,2023-04-23,Standard Class
OR-300002,CU-100643,2023-03-07,2023-03-09,Standard Class
OR-300003,CU-102138,2024-03-01,2024-03-05,Same Day
OR-300004,CU-102967,2023-04-27,2023-05-02,First Class
OR-300005,CU-101673,2023-10-10,2023-10-17,Standard Class
OR-300006,CU-101655,2023-01-09,2023-01-10,First Class
OR-300007,CU-100053,2024-03-15,2024-03-18,First Class
OR-300008,CU-100006,2024-07-04,2024-07-09,First Class
OR-300009,CU-102533,2024-08-19,2024-08-20,Standard Class
OR-300010,CU-101880,2022-02-01,2022-02-06,Second Class
OR-300011,CU-102332,2024-07-19,2024-07-23,Standard Class
OR-300012,CU-102289,2023-01-18,2023-01-22,Standard Class
OR-300013,CU-100369,2022-10-10,2022-10-14,First Class
OR-300014,CU-102406,2022-06-02,2022-06-06,Standard Class
OR-300015,CU-102367,2022-10-17,2022-10-19,First Class
OR-300016,CU-102060,2022-11-30,2022-12-05,First Class
OR-300017,CU-102221,2024-02-04,2024-02-05,Same Day
OR-300018,CU-100241,2022-07-07,2022-07-08,First Class
OR-300019,CU-102690,2022-06-26,2022-06-29,Second Class
OR-300020,CU-102869,2022-06-27,2022-07-02,First Class
OR-300021,CU-101934,2022-08-25,2022-08-29,Standard Class
OR-300022,CU-100185,2022-11-11,2022-11-14,Same Day
OR-300023,CU-100991,2023-11-22,2023-11-29,Second Class
OR-300024,CU-100724,2023-10-14,2023-10-21,Second Class
OR-300025,CU-101626,2022-11-23,2022-11-25,Second Class
OR-300026,CU-101329,2022-08-08,2022-08-09,Same Day
OR-300027,CU-101345,2023-08-28,2023-09-03,Same Day
OR-300028,CU-101285,2024-01-02,2024-01-09,Standard Class
OR-300029,CU-100323,2023-10-17,2023-10-18,First Class
OR-300030,CU-102529,2023-11-27,2023-11-28,Same Day
OR-300031,CU-100114,2023-04-18,2023-04-24,Standard Class
OR-300032,CU-101245,2022-01-25,2022-01-27,Standard Class
OR-300033,CU-101754,2022-04-04,2022-04-09,First Class
OR-300034,CU-100906,2023-11-21,2023-11-26,Second Class
OR-300035,CU-100078,2024-03-25,2024-03-30,Same Day
OR-300036,CU-100180,2023-05-10,2023-05-14,First Class
OR-300037,CU-100084,2022-01-06,2022-01-10,Same Day
OR-300038,CU-102571,2023-01-18,2023-01-24,Second Class
OR-300039,CU-101727,2022-04-06,2022-04-09,Second Class
OR-300040,CU-100995,2022-01-29,2022-01-31,Standard Class
OR-300041,CU-100026,2023-07-31,2023-08-06,First Class
OR-300042,CU-100733,2022-01-18,2022-01-24,Second Class
OR-300043,CU-101767,2022-12-11,2022-12-12,Second Class
OR-300044,CU-102002,2022-01-09,2022-01-15,First Class
OR-300045,CU-102193,2024-01-31,2024-02-03,Standard Class
OR-300046,CU-102864,2023-03-19,2023-03-20,Same Day
OR-300047,CU-102692,2022-07-16,2022-07-21,Second Class
OR-300048,CU-100936,2022-10-05,2022-10-11,Second Class
OR-300049,CU-102682,2023-03-09,2023-03-15,Second Class
OR-300050,CU-102910,2023-02-06,2023-02-12,Standard Class
OR-300051,CU-100897,2022-09-26,2022-09-28,Same Day
OR-300052,CU-102436,2023-04-18,2023-04-25,Same Day
OR-300053,CU-101548,2022-03-25,2022-04-01,Second Class
OR-300054,CU-102324,2022-06-16,2022-06-23,Second Class
OR-300055,CU-102282,2024-01-25,2024-02-01,Same Day
OR-300056,CU-102805,2023-09-20,2023-09-25,Second Class
OR-300057,CU-101578,2022-10-03,2022-10-07,Standard Class
OR-300058,CU-101407,2023-10-19,2023-10-22,Second Class
OR-300059,CU-100160,2024-12-29,2025-01-04,Same Day
OR-300060,CU-102966,2023-09-30,2023-10-07,Standard Class
OR-300061,CU-100142,2023-05-09,2023-05-10,Standard Class
OR-300062,CU-101857,2024-04-02,2024-04-07,First Class
OR-300063,CU-100260,2024-06-01,2024-06-03,First Class
OR-300064,CU-101254,2024-11-06,2024-11-07,First Class
OR-300065,CU-100744,2022-08-20,2022-08-27,Second Class
OR-300066,CU-102410,2022-09-01,2022-09-04,Second Class
OR-300067,CU-101690,2023-03-27,2023-04-02,Same Day
OR-300068,CU-100684,2022-10-18,2022-10-19,Standard Class
OR-300069,CU-101063,2023-07-01,2023-07-08,Same Day
OR-300070,CU-102771,2022-02-21,2022-02-27,Same Day
OR-300071,CU-101141,2022-05-07,2022-05-13,Standard Class
OR-300072,CU-102795,2022-12-31,2023-01-06,Second Class
OR-300073,CU-100798,2022-09-03,2022-09-07,Standard Class
OR-300074,CU-101548,2023-12-10,2023-12-13,Second Class
OR-300075,CU-100617,2024-06-25,2024-06-27,Second Class
OR-300076,CU-101733,2024-05-24,2024-05-25,First Class
OR-300077,CU-101880,2022-04-04,2022-04-09,Second Class
OR-300078,CU-102286,2023-01-10,2023-01-16,Standard Class
OR-300079,CU-100661,2024-11-07,2024-11-08,Standard Class
OR-300080,CU-101544,2023-01-10,2023-01-17,First Class
OR-300081,CU-101002,2022-05-17,2022-05-24,Standard Class
OR-300082,CU-100967,2022-01-13,2022-01-17,First Class
OR-300083,CU-101578,2022-12-24,2022-12-28,Standard Class
OR-300084,CU-100713,2022-05-18,2022-05-21,Standard Class
OR-300085,CU-100757,2022-05-04,2022-05-08,Standard Class
OR-300086,CU-102985,2022-07-03,2022-07-05,First Class
OR-300087,CU-102540,2024-04-06,2024-04-10,Same Day
OR-300088,CU-101389,2024-12-22,2024-12-27,Same Day
OR-300089,CU-102368,2023-11-17,2023-11-19,Second Class
OR-300090,CU-100096,2023-12-16,2023-12-20,Same Day
OR-300091,CU-101782,2024-10-13,2024-10-17,First Class
OR-300092,CU-100154,2024-03-01,2024-03-04,Same Day
OR-300093,CU-100912,2023-10-20,2023-10-22,Standard Class
OR-300094,CU-102515,2023-08-17,2023-08-22,First Class
OR-300095,CU-102412,2023-05-16,2023-05-23,Second Class
OR-300096,CU-100195,2023-11-04,2023-11-09,Same Day
OR-300097,CU-101104,2022-07-24,2022-07-26,Second Class
OR-300098,CU-100250,2022-12-21,2022-12-22,Same Day
OR-300099,CU-101175,2024-04-25,2024-04-28,First Class
OR-300100,CU-101457,2022-08-07,2022-08-09,Standard Class
OR-300101,CU-101381,2024-08-23,2024-08-24,Same Day
OR-300102,CU-101476,2023-09-04,2023-09-06,First Class
OR-300103,CU-100555,2022-03-10,2022-03-17,Second Class
OR-300104,CU-102925,2024-05-01,2024-05-06,Same Day
OR-300105,CU-102899,2022-10-16,2022-10-21,First Class
OR-300106,CU-102197,2024-01-21,2024-01-22,Second Class
OR-300107,CU-100653,2023-02-12,2023-02-14,Second Class
OR-300108,CU-100040,2023-04-16,2023-04-17,Second Class
OR-300109,CU-100043,2024-06-15,2024-06-22,Same Day
OR-300110,CU-102628,2024-01-29,2024-01-31,Standard Class
OR-300111,CU-101058,2024-09-25,2024-09-27,Second Class
OR-300112,CU-102212,2023-08-30,2023-09-03,Standard Class
OR-300113,CU-100542,2023-08-23,2023-08-24,First Class
OR-300114,CU-102238,2024-08-05,2024-08-11,Standard Class
OR-300115,CU-102775,2024-08-18,2024-08-24,Second Class
OR-300116,CU-102968,2022-10-29,2022-10-31,Same Day
OR-300117,CU-101875,2024-11-17,2024-11-18,Second Class
OR-300118,CU-102450,2022-11-06,2022-11-09,Standard Class
OR-300119,CU-100902,2024-07-19,2024-07-21,Second Class
OR-300120,CU-101543,2023-10-19,2023-10-25,First Class
OR-300121,CU-101354,2022-01-25,2022-01-28,Same Day
OR-300122,CU-101546,2024-11-05,2024-11-11,First Class
OR-300123,CU-101054,2023-01-08,2023-01-12,Same Day
OR-300124,CU-100698,2022-11-24,2022-11-27,Second Class
OR-300125,CU-100580,2022-10-02,2022-10-03,First Class
OR-300126,CU-101293,2024-04-03,2024-04-05,Same Day
OR-300127,CU-100736,2022-03-29,2022-04-02,Same Day
OR-300128,CU-102739,2023-11-27,2023-11-28,Second Class
OR-300129,CU-100919,2022-11-18,2022-11-19,Standard Class
OR-300130,CU-100461,2024-02-02,2024-02-07,Second Class
OR-300131,CU-101590,2022-12-30,2023-01-04,Same Day
OR-300132,CU-100457,2022-10-16,2022-10-22,Same Day
OR-300133,CU-100888,2022-08-19,2022-08-22,Same Day
OR-300134,CU-101664,2023-07-23,2023-07-28,Standard Class
OR-300135,CU-102818,2022-12-11,2022-12-17,Standard Class
OR-300136,CU-101378,2023-02-01,2023-02-06,Same Day
OR-300137,CU-102252,2022-01-04,2022-01-07,Second Class
OR-300138,CU-102054,2024-02-29,2024-03-06,Second Class
OR-300139,CU-101648,2022-12-29,2023-01-02,Same Day
OR-300140,CU-100304,2023-01-24,2023-01-26,Second Class
OR-300141,CU-100765,2024-08-02,2024-08-08,Standard Class
OR-300142,CU-102204,2024-12-06,2024-12-07,First Class
OR-300143,CU-101443,2024-05-08,2024-05-13,Second Class
OR-300144,CU-101449,2022-07-12,2022-07-14,First Class
OR-300145,CU-100092,2024-06-30,2024-07-03,Same Day
OR-300146,CU-101984,2022-02-14,2022-02-19,Standard Class
OR-300147,CU-101877,2024-11-28,2024-12-04,First Class
OR-300148,CU-101187,2023-10-10,2023-10-11,Second Class
OR-300149,CU-101034,2024-01-05,2024-01-10,Standard Class
OR-300150,CU-102731,2023-05-01,2023-05-06,Same Day
OR-300151,CU-101412,2024-03-10,2024-03-17,Same Day
OR-300152,CU-101464,2024-03-04,2024-03-07,Standard Class
OR-300153,CU-102174,2024-08-24,2024-08-26,Same Day
OR-300154,CU-102817,2022-09-09,2022-09-10,Second Class
OR-300155,CU-101532,2022-12-04,2022-12-07,Standard Class
OR-300156,CU-100120,2023-06-14,2023-06-18,First Class
OR-300157,CU-101177,2023-11-14,2023-11-20,First Class
OR-300158,CU-100374,2022-05-20,2022-05-26,Same Day
OR-300159,CU-102529,2023-12-11,2023-12-16,First Class
OR-300160,CU-101508,2022-06-22,2022-06-26,Standard Class
OR-300161,CU-101263,2022-07-09,2022-07-12,Same Day
OR-300162,CU-101064,2023-08-16,2023-08-23,Second Class
OR-300163,CU-100799,2022-09-13,2022-09-18,Second Class
OR-300164,CU-101946,2023-02-07,2023-02-08,First Class
OR-300165,CU-100439,2023-12-31,2024-01-04,Same Day
OR-300166,CU-101628,2022-05-14,2022-05-17,Second Class
OR-300167,CU-101398,2022-04-18,2022-04-23,Standard Class
OR-300168,CU-100933,2022-02-04,2022-02-09,Second Class
OR-300169,CU-101218,2024-07-26,2024-07-31,First Class
OR-300170,CU-102391,2024-08-05,2024-08-11,Standard Class
OR-300171,CU-101344,2024-12-19,2024-12-22,First Class
OR-300172,CU-100859,2024-12-17,2024-12-22,First Class
OR-300173,CU-100683,2022-08-04,2022-08-08,Same Day
OR-300174,CU-102396,2023-03-02,2023-03-04,First Class
OR-300175,CU-100084,2024-08-09,2024-08-15,Standard Class
OR-300176,CU-101259,2022-10-03,2022-10-09,First Class
OR-300177,CU-100249,2022-10-05,2022-10-08,Second Class
OR-300178,CU-100991,2022-05-04,2022-05-10,Standard Class
OR-300179,CU-102326,2023-01-16,2023-01-19,First Class
OR-300180,CU-102512,2022-03-29,2022-04-04,Second Class
OR-300181,CU-100019,2023-12-04,2023-12-06,First Class
OR-300182,CU-100429,2024-08-03,2024-08-06,Second Class
OR-300183,CU-100033,2023-06-25,2023-06-27,Same Day
OR-300184,CU-101713,2024-10-11,2024-10-15,First Class
OR-300185,CU-101139,2024-11-08,2024-11-12,First Class
OR-300186,CU-101740,2022-09-03,2022-09-10,Standard Class
OR-300187,CU-100878,2024-04-08,2024-04-11,Same Day
OR-300188,CU-100161,2023-06-21,2023-06-22,Second Class
OR-300189,CU-100271,2022-02-10,2022-02-11,Same Day
OR-300190,CU-102598,2022-10-23,2022-10-25,First Class
OR-300191,CU-102842,2023-03-15,2023-03-17,Same Day
OR-300192,CU-101251,2024-02-23,2024-02-28,Same Day
OR-300193,CU-102237,2024-03-28,2024-04-01,Second Class
OR-300194,CU-100968,2024-03-11,2024-03-18,Same Day
OR-300195,CU-101282,2022-03-03,2022-03-04,Standard Class
OR-300196,CU-102086,2024-08-25,2024-08-26,Same Day
OR-300197,CU-101254,2023-05-17,2023-05-21,Standard Class
OR-300198,CU-101627,2022-02-01,2022-02-03,First Class
OR-300199,CU-101827,2024-08-29,2024-08-31,Same Day
OR-300200,CU-101293,2022-07-13,2022-07-15,Second Class
OR-300201,CU-102355,2022-08-15,2022-08-18,Standard Class
OR-300202,CU-101045,2024-09-07,2024-09-12,Same Day
OR-300203,CU-102538,2022-09-25,2022-09-26,Same Day
OR-300204,CU-101101,2024-11-10,2024-11-14,First Class
OR-300205,CU-100607,2022-01-30,2022-02-02,First Class
OR-300206,CU-100074,2024-11-28,2024-12-02,Second Class
OR-300207,CU-101663,2022-01-06,2022-01-07,Standard Class
OR-300208,CU-101379,2023-09-07,2023-09-12,Standard Class
OR-300209,CU-102143,2022-06-24,2022-06-27,Standard Class
OR-300210,CU-100979,2023-07-23,2023-07-27,Same Day
OR-300211,CU-101025,2023-08-04,2023-08-09,First Class
OR-300212,CU-102102,2024-07-03,2024-07-08,First Class
OR-300213,CU-100286,2024-10-14,2024-10-17,First Class
OR-300214,CU-101861,2022-02-05,2022-02-06,First Class
OR-300215,CU-102259,2023-11-11,2023-11-12,Standard Class
OR-300216,CU-100220,2022-06-24,2022-06-26,Second Class
OR-300217,CU-102568,2024-05-24,2024-05-25,First Class
OR-300218,CU-102929,2024-02-06,2024-02-07,Same Day
OR-300219,CU-100103,2022-08-08,2022-08-13,Standard Class
OR-300220,CU-100340,2024-10-02,2024-10-06,Second Class
OR-300221,CU-100015,2024-11-09,2024-11-13,Same Day
OR-300222,CU-101201,2024-08-27,2024-08-31,Standard Class
OR-300223,CU-101979,2023-09-10,2023-09-12,Second Class
OR-300224,CU-100452,2022-11-05,2022-11-06,First Class
OR-300225,CU-100801,2022-06-14,2022-06-19,Second Class
OR-300226,CU-101659,2024-04-09,2024-04-12,Standard Class
OR-300227,CU-101644,2022-04-15,2022-04-18,Same Day
OR-300228,CU-102629,2024-10-31,2024-11-04,Standard Class
OR-300229,CU-102435,2024-07-03,2024-07-08,Standard Class
OR-300230,CU-101944,2022-08-28,2022-08-30,Standard Class
OR-300231,CU-100208,2024-11-05,2024-11-08,Standard Class
OR-300232,CU-100488,2022-02-16,2022-02-20,Second Class
OR-300233,CU-100830,2024-02-26,2024-02-29,Same Day
OR-300234,CU-101906,2024-10-22,2024-10-23,Standard Class
OR-300235,CU-100664,2022-09-06,2022-09-10,Standard Class
OR-300236,CU-101493,2022-10-18,2022-10-19,First Class
OR-300237,CU-101590,2022-05-29,2022-05-30,Same Day
OR-300238,CU-101056,2022-11-17,2022-11-20,Second Class
OR-300239,CU-102219,2023-08-23,2023-08-28,Standard Class
OR-300240,CU-100191,2022-10-29,2022-10-30,First Class
OR-300241,CU-101589,2023-08-19,2023-08-23,Second Class
OR-300242,CU-101131,2024-10-18,2024-10-22,First Class
OR-300243,CU-101314,2022-08-16,2022-08-18,Standard Class
OR-300244,CU-100930,2024-02-25,2024-02-26,Second Class
OR-300245,CU-100833,2022-05-06,2022-05-13,Same Day
OR-300246,CU-102626,2023-04-16,2023-04-20,Standard Class
OR-300247,CU-101235,2024-10-27,2024-11-03,First Class
OR-300248,CU-101026,2022-10-06,2022-10-07,Same Day
OR-300249,CU-102064,2024-08-31,2024-09-05,Standard Class
OR-300250,CU-102473,2022-10-24,2022-10-28,Second Class
OR-300251,CU-101388,2023-12-07,2023-12-10,Second Class
OR-300252,CU-102635,2022-10-29,2022-11-02,Standard Class
OR-300253,CU-102007,2024-05-22,2024-05-27,Standard Class
OR-300254,CU-102394,2023-01-02,2023-01-04,Standard Class
OR-300255,CU-101628,2023-07-05,2023-07-09,Standard Class
OR-300256,CU-100079,2023-03-19,2023-03-26,Standard Class
OR-300257,CU-101804,2022-11-24,2022-11-29,First Class
OR-300258,CU-102476,2023-04-06,2023-04-08,Same Day
OR-300259,CU-100195,2023-09-04,2023-09-11,Same Day
OR-300260,CU-101356,2022-12-18,2022-12-22,Second Class
OR-300261,CU-102028,2024-01-15,2024-01-22,Same Day
OR-300262,CU-100423,2022-12-18,2022-12-23,Standard Class
OR-300263,CU-100141,2023-04-07,2023-04-09,Second Class
OR-300264,CU-100243,2022-08-21,2022-08-26,Second Class
OR-300265,CU-101005,2023-01-30,2023-02-01,First Class
OR-300266,CU-102642,2023-04-18,2023-04-19,Second Class
OR-300267,CU-100482,2022-10-20,2022-10-22,Same Day
OR-300268,CU-100740,2024-03-21,2024-03-25,Standard Class
OR-300269,CU-100619,2024-11-07,2024-11-13,Same Day
OR-300270,CU-102183,2023-07-05,2023-07-08,Second Class
OR-300271,CU-102620,2022-08-04,2022-08-07,Second Class
OR-300272,CU-100572,2023-06-19,2023-06-23,Second Class
OR-300273,CU-102419,2023-01-05,2023-01-11,Standard Class
OR-300274,CU-102286,2024-05-30,2024-06-02,Standard Class
OR-300275,CU-101471,2024-12-15,2024-12-20,Second Class
OR-300276,CU-101090,2024-03-25,2024-03-29,Second Class
OR-300277,CU-102275,2022-11-22,2022-11-24,Second Class
OR-300278,CU-102646,2022-01-27,2022-01-28,Second Class
OR-300279,CU-101710,2024-03-18,2024-03-20,Same Day
OR-300280,CU-101403,2022-04-18,2022-04-23,First Class
OR-300281,CU-101899,2022-07-11,2022-07-12,Second Class
OR-300282,CU-101785,2022-09-23,2022-09-27,First Class
OR-300283,CU-101735,2022-07-04,2022-07-08,Same Day
OR-300284,CU-102528,2023-06-15,2023-06-18,Standard Class
OR-300285,CU-100129,2024-05-14,2024-05-21,Second Class
OR-300286,CU-100354,2024-10-09,2024-10-14,Second Class
OR-300287,CU-102032,2022-12-11,2022-12-13,First Class
OR-300288,CU-101550,2022-10-08,2022-10-12,Standard Class
OR-300289,CU-102563,2023-10-03,2023-10-07,First Class
OR-300290,CU-100902,2024-09-03,2024-09-08,Standard Class
OR-300291,CU-101622,2024-02-08,2024-02-09,Same Day
OR-300292,CU-100356,2024-11-29,2024-12-02,Standard Class
OR-300293,CU-100450,2022-01-23,2022-01-30,First Class
OR-300294,CU-101740,2024-11-08,2024-11-10,Second Class
OR-300295,CU-101657,2024-08-22,2024-08-28,Standard Class
OR-300296,CU-102096,2024-07-14,2024-07-19,Same Day
OR-300297,CU-102840,2024-10-28,2024-11-04,Same Day
OR-300298,CU-102232,2024-04-02,2024-04-08,Same Day
OR-300299,CU-101647,2022-11-30,2022-12-05,Standard Class
OR-300300,CU-101874,2022-01-13,2022-01-18,Same Day
OR-300301,CU-100972,2023-11-01,2023-11-04,Standard Class
OR-300302,CU-101841,2022-02-24,2022-02-28,Second Class
OR-300303,CU-101506,2023-06-14,2023-06-19,Second Class
OR-300304,CU-102968,2022-08-17,2022-08-21,Same Day
OR-300305,CU-100908,2022-08-22,2022-08-25,Standard Class
OR-300306,CU-102695,2022-10-18,2022-10-25,Standard Class
OR-300307,CU-102576,2022-03-06,2022-03-11,Standard Class
OR-300308,CU-101388,2023-01-12,2023-01-18,Same Day
OR-300309,CU-100542,2022-02-01,2022-02-06,Standard Class
OR-300310,CU-101083,2023-07-29,2023-08-01,Second Class
OR-300311,CU-101209,2022-10-20,2022-10-23,Second Class
OR-300312,CU-101659,2022-05-01,2022-05-03,Same Day
OR-300313,CU-101140,2022-02-03,2022-02-05,Same Day
OR-300314,CU-100809,2022-09-18,2022-09-20,Same Day
OR-300315,CU-102166,2024-04-15,2024-04-18,Standard Class
OR-300316,CU-101050,2023-01-16,2023-01-21,Same Day
OR-300317,CU-102331,2024-04-15,2024-04-17,Second Class
OR-300318,CU-101955,2024-03-29,2024-04-03,Same Day
OR-300319,CU-102455,2022-06-23,2022-06-25,Second Class
OR-300320,CU-100138,2023-08-06,2023-08-12,Standard Class
OR-300321,CU-101925,2022-09-29,2022-09-30,Same Day
OR-300322,CU-100956,2023-11-21,2023-11-28,Second Class
OR-300323,CU-100419,2023-06-19,2023-06-24,Same Day
OR-300324,CU-100539,2022-01-09,2022-01-10,Same Day
OR-300325,CU-102629,2023-08-18,2023-08-25,Standard Class
OR-300326,CU-100212,2024-10-13,2024-10-17,Same Day
OR-300327,CU-100184,2022-10-28,2022-11-03,First Class
OR-300328,CU-100165,2023-01-24,2023-01-27,Second Class
OR-300329,CU-100923,2023-10-08,2023-10-09,Standard Class
OR-300330,CU-101097,2023-12-22,2023-12-26,Second Class
OR-300331,CU-101850,2023-06-18,2023-06-21,Same Day
